"","diameter","albedo","a","q","n","per","moid","t_jup","sigma_a","class_var"
"260",43.482,0.101,3.13972793501223,2.61473491784721,0.177160153675401,2032.05965072487,1.62702,3.187,1.3755e-08,"B"
"262",165.01,0.0692,2.89954527586724,2.41025696196034,0.19962238132593,1803.40499701893,1.44016,3.176,1.0612e-08,"C"
"267",60.75,0.173,2.88227702271881,2.4753807996372,0.201419027384541,1787.31872889398,1.4792,3.233,1.1647e-08,"C"
"270",44.189,0.033,2.78398197044006,2.54690489670117,0.212180000612413,1696.67263154367,1.53041,3.324,1.0219e-08,"C"
"273",49.771,0.054,2.74327657247332,2.13263300218852,0.21692004304035,1659.59767919203,1.15119,3.293,9.3876e-09,"C"
"277",94.97,0.037,2.59423655834349,2.07888697002889,0.235879235281702,1526.20471051666,1.10866,3.348,7.3651e-09,"C"
"278",108.894,0.061,2.58548356381057,1.95841946997786,0.23707808032772,1518.48707186409,0.977069,3.351,7.0461e-09,"C"
"283",88.76,0.027,3.50736614165741,3.25320848084695,0.15004876183734,2399.22006414326,2.27564,3.099,2.0652e-08,"C"
"286",175.859,0.067,3.06644109995698,2.95641217140939,0.183549046638115,1961.32862901639,1.94249,3.202,8.3662e-09,"C"
"287",67.925,0.042,2.88680847430462,2.71448292345822,0.200944959408364,1791.53535903531,1.71935,3.286,1.1983e-08,"C"
"293",62.171,0.044,2.34494875159121,2.17842627748703,0.274475787821201,1311.59109828117,1.18081,3.551,6.3437e-09,"C"
"295",159.331,0.051,2.76928629445858,2.28299756035784,0.213871191737993,1683.25615560708,1.28175,3.292,8.2936e-09,"C"
"296",53.562,0.317,2.78853894928811,2.4350174315922,0.211660102202035,1700.84015010241,1.45034,3.293,1.0266e-08,"A"
"307",80.738,0.174,3.01619875762432,2.76626669582461,0.188154296037941,1913.32330741683,1.80949,3.203,1.418e-08,"L"
"308",60.088,0.071,2.72019766078381,2.12487431712296,0.219686504988475,1638.69874491783,1.15491,3.308,1.2377e-08,"C"
"312",118.803,0.059,3.17190824220992,2.87457699888868,0.17447096000726,2063.38063357375,1.87431,3.175,1.6402e-08,"C"
"313",91.176,0.037,3.18949634603966,2.91124399711188,0.173029801864637,2080.56644647627,1.95286,3.108,1.4706e-08,"C"
"314",100.786,0.065,2.98642142158332,2.79349419128031,0.190975403245495,1885.05950966485,1.78295,3.243,1.2719e-08,"C"
"320",270.327,0.076,3.16488038393588,2.56945579389642,0.17505242161396,2056.52682025674,1.59307,3.117,7.7432e-09,"C"
"323",41.19,0.039,3.11986867864169,2.57266642549906,0.178854389310381,2012.81054039586,1.58602,3.192,1.3752e-08,"C"
"326",107.227,0.073,2.74056638117735,1.96876594447057,0.217241896291587,1657.13891355837,0.993845,3.268,6.9971e-09,"C"
"328",52.627,0.039,2.726534940035,2.31708905667658,0.218921024919623,1644.42862503579,1.30714,3.319,1.1165e-08,"C"
"333",68.356,0.052,2.73842909988441,2.15467523629572,0.217496274408122,1655.20076598864,1.16698,3.308,9.8685e-09,"C"
"338",81.113,0.04,2.9677781666773,2.60533212412727,0.192777756014613,1867.43536932089,1.62016,3.252,1.1225e-08,"C"
"347",72.95,0.0297,2.65741958731199,2.17576866245747,0.227517012402473,1582.2992584096,1.19204,3.363,8.5277e-09,"C"
"350",28.903,0.089,2.40013009070924,2.02182044494345,0.265064704172496,1358.15894886451,1.0259,3.487,6.9921e-09,"C"
"355",95.203,0.04,3.04564250777188,2.85815716884864,0.185432428482355,1941.40799937944,1.87488,3.235,1.3774e-08,"C"
"360",70.249,0.115,2.77385779439262,1.9643587935074,0.213342698966996,1687.42591962658,1.02142,3.214,9.7982e-09,"K"
"366",29.191,0.094,2.69320564950704,2.39534319166874,0.222997399581327,1614.36860105048,1.41089,3.351,1.0057e-08,"C"
"375",59.594,0.06,2.73527275363537,2.30003287568567,0.217872850137746,1652.3398843518,1.29796,3.321,8.7098e-09,"C"
"379",160.736,0.027,2.2971745267702,1.76619605550938,0.283082541642188,1271.71388921269,0.804655,3.494,3.5239e-09,"C"
"390",41.614,0.068,2.69811833509124,2.32076449991148,0.222388632387614,1618.78777766183,1.31711,3.332,1.0434e-08,"C"
"391",190.98,0.061,3.19232670899219,3.13727797082147,0.172799736797307,2083.33650659595,2.1208,3.096,1.393e-08,"B"
"396",97.968,0.048,3.40363189680306,2.87072096259808,0.156960436022257,2293.5716102939,1.87691,3.1,2.1841e-08,"C"
"401",23.456,0.352,2.992900014118,2.82914581760213,0.190355645476088,1891.19686521313,1.84421,3.247,1.3748e-08,"C"
"402",50.025,0.133,2.75922864843557,2.49001029190733,0.215041627398936,1674.09447349533,1.56469,3.264,1.1784e-08,"L"
"404",67.976,0.059,2.72929069705526,1.85140526521275,0.218589542728768,1646.92233446271,0.893385,3.219,1.1568e-08,"C"
"409",51.072,0.068,2.79326411959273,2.62730622089382,0.211123253426785,1705.16508322397,1.63833,3.32,1.0745e-08,"C"
"410",171.71,0.0503,3.00586407859091,1.98618566194893,0.189125489999843,1903.49804249178,1.08825,3.09,1.011e-08,"C"
"420",151.711,0.065,2.93135926422548,2.44749695519386,0.196381467633934,1833.16686822537,1.49798,3.181,1.523e-08,"C"
"424",38.719,0.025,2.3422810908931,1.80417471915998,0.274944828481554,1309.35359645854,0.792721,3.51,7.1456e-09,"C"
"426",49.46,0.12,2.56872674371783,2.02765052447267,0.23940169058806,1503.7487793662,1.04599,3.365,9.6283e-09,"C"
"430",85.263,0.027,2.74814304062641,2.46581664309699,0.216344108495024,1664.01573171696,1.46453,3.26,1.1678e-08,"C"
"433",137.952,0.054,2.8386843908338,2.44069924561309,0.206076471365088,1746.92432190485,1.43355,3.243,1.1834e-08,"C"
"443",52.677,0.041,2.93782354005486,2.7326352673541,0.195733658781141,1839.23399910759,1.75361,3.234,1.4462e-08,"C"
"445",27.593,0.051,2.31212833604813,2.06788680642755,0.280340710451248,1284.15170033824,1.0737,3.559,7.0551e-09,"C"
"449",38.724,0.29,3.20259243044234,3.10921127604328,0.171969553891473,2093.39381218137,2.15713,3.041,2.0277e-08,"A"
"451",50.692,0.056,2.70214954621786,2.29922100474549,0.221891161168414,1622.41703592133,1.31579,3.343,9.5966e-09,"C"
"454",86.793,0.078,3.16991495211819,2.3135775235293,0.174635550811593,2061.43593516299,1.36063,3.08,1.5459e-08,"C"
"455",109.568,0.071,3.2018382394746,2.73722930179807,0.172030318448502,2092.65438352233,1.75338,3.019,1.6128e-08,"B"
"460",30.749,0.087,2.47243698518417,2.1067538515174,0.253522335218238,1419.99323132656,1.12984,3.431,8.7641e-09,"L"
"462",82.675,0.039,3.13745456910957,2.58681285812573,0.177352741070078,2029.85303654119,1.68148,3.11,1.6404e-08,"C"
"464",33.5,0.047,2.77206109987038,2.54127252267237,0.213550147728956,1685.78670550452,1.54786,3.317,1.0852e-08,"C"
"469",53.714,0.047,2.747694487225,2.14839586308631,0.216397087008394,1663.6083460127,1.19208,3.27,9.4005e-09,"C"
"479",20.274,0.054,2.66941491804646,2.18086859852596,0.225985174716143,1593.02485418431,1.18173,3.334,1.2617e-08,"C"
"484",40.152,0.052,2.60527483864461,2.40054552191972,0.234381730359805,1535.95589318056,1.41657,3.395,9.6213e-09,"C"
"493",60.571,0.047,3.07149267433684,2.62884837029151,0.18309641802208,1966.17718625487,1.64111,3.17,1.6551e-08,"C"
