"","X.1","X","H","diameter","albedo","rot_per","diameter_sigma","epoch","e","a","q","i","om","w","ma","ad","n","tp","per","moid","moid_jup","t_jup","sigma_e","sigma_a","sigma_q","sigma_i","sigma_om","sigma_w","sigma_ma","sigma_ad","sigma_n","sigma_tp","sigma_per","rms","neo_flag","pha_flag","class_var"
"41",41,47,6.9,216.473,0.065,11.89,4.757,2458600.5,0.0724438804000818,3.11008809630146,2.88478124621928,6.5474164886317,183.553977149462,253.053922231948,69.374787646367,3.33539494638365,0.179698742237322,2458214.43837941,2003.35292010314,1.90839,1.88458,3.205,3.0349e-08,8.5876e-09,9.5001e-08,3.1238e-06,3.0257e-05,3.8604e-05,2.3888e-05,9.2097e-09,7.4428e-10,0.00013288,8.2975e-06,0.53516,0,0,"C"
"42",42,48,7.8,166.252,0.048,20.705,2.166,2458600.5,0.222067029918408,3.10504561652924,2.41551735870542,3.19521497004881,285.085822240222,112.298672166709,240.62943821146,3.79457387435306,0.180136656119081,2459263.16669072,1998.48275057364,1.42463,1.65899,3.18,3.7623e-08,8.8201e-09,1.1374e-07,3.8655e-06,7.4924e-05,7.5503e-05,9.5657e-06,1.0779e-08,7.6753e-10,5.433e-05,8.5152e-06,0.55155,0,0,"C"
"43",43,49,9.24,84.074,0.05,14.315,0.242,2458600.5,0.285985527879771,2.64879384868213,1.89127714162208,2.8382198050762,173.528727343488,200.080574709836,158.459364142841,3.40631055574218,0.228629272872861,2457907.4156799,1574.60151745395,0.891422,2.05358,3.33,2.9601e-08,4.5633e-09,7.8155e-08,3.586e-06,7.4024e-05,7.4281e-05,7.5106e-06,5.8683e-09,5.9081e-10,3.175e-05,4.069e-06,0.51391,0,0,"C"
"45",45,51,6.31,303.918,0.057,5.6304,3.501,2458600.5,0.110369261300845,3.09309139080242,2.75170917886355,7.47875186581896,128.606159155296,343.558521858511,237.203902027191,3.43447360274129,0.181181956720909,2459278.25014795,1986.95282088459,1.76943,1.66197,3.202,2.8343e-08,7.1361e-09,8.7102e-08,2.8663e-06,2.2483e-05,2.5886e-05,1.2841e-05,7.9237e-09,6.2701e-10,7.1683e-05,6.8762e-06,0.51784,0,0,"C"
"50",50,57,8.86,106.517,0.044,9.895,0.741,2458600.5,0.0427823798598845,2.70007575902195,2.58456009224901,5.06541027425746,161.107535908243,30.8017684241867,298.46450335775,2.81559142579489,0.222146844768034,2458877.50369414,1620.54968809443,1.58633,2.14199,3.361,3.8733e-08,8.3114e-09,1.0367e-07,4.1214e-06,4.7622e-05,6.7653e-05,4.8615e-05,8.667e-09,1.0257e-09,0.00021904,7.4826e-06,0.46122,0,0,"C"
"58",58,65,9.36,71.82,0.0618,9.73509,5.3,2458600.5,0.172940545724123,2.64606356977526,2.18845189199761,3.04559841620445,7.50377555636247,43.9852143394478,19.0741075745061,3.10367524755292,0.228983222802188,2458517.20085109,1572.16758325999,1.1999,2.27428,3.369,3.3497e-08,6.5738e-09,8.8529e-08,4.0195e-06,6.4968e-05,6.5855e-05,1.0867e-05,7.7107e-09,8.5332e-10,4.7378e-05,5.8588e-06,0.50587,0,0,"C"
"61",61,69,8.11,127.911,0.038,15.8052,0.745,2458600.5,0.180426170191626,2.61590930218408,2.14393080522236,11.5949185927645,47.6962798314756,255.389358426391,70.4462678252663,3.08788779914581,0.232953934853734,2458298.09571621,1545.36990425182,1.1631,2.21992,3.355,4.2367e-08,8.8085e-09,1.1099e-07,3.4823e-06,2.4853e-05,2.7469e-05,1.4292e-05,1.0398e-08,1.1766e-09,6.1059e-05,7.8056e-06,0.46967,0,0,"C"
"70",70,80,8.48,117.727,0.045,10.943,0.734,2458600.5,0.210697397602698,2.85359719036533,2.25235168854899,7.80298199997507,0.959642858294935,51.6773794284987,347.189945615569,3.45484269218168,0.204463161049488,2458663.15213899,1760.7083748102,1.27209,2.00521,3.258,3.902e-08,9.5575e-09,1.1092e-07,4.6738e-06,2.3235e-05,2.5e-05,1.0406e-05,1.1571e-08,1.0272e-09,5.1101e-05,8.8457e-06,0.44869,0,0,"C"
"73",73,83,9.32,79.16,0.0527,23.562,1.6,2458600.5,0.235843681456536,2.36248979092157,1.80531150122715,9.31534659268118,327.514409562569,15.1547962383295,107.310558271622,2.91966808061599,0.271424572957524,2458205.13948749,1326.33532799677,0.797648,2.48671,3.495,4.5356e-08,3.5762e-09,1.0711e-07,5.2029e-06,2.5467e-05,2.6952e-05,1.0888e-05,4.4196e-09,6.1629e-10,3.9752e-05,3.0116e-06,0.47341,0,0,"C"
"77",77,89,8.27,115.974,0.058,16.509,1.107,2458600.5,0.166076511550016,3.14987489033224,2.62675465672687,2.20690718303562,69.9700421095916,244.875171239859,145.173119276041,3.6729951239376,0.176304792242375,2457777.07871105,2041.91840403913,1.61312,1.618,3.185,3.3776e-08,1.0724e-08,1.0877e-07,4.0385e-06,0.00010215,0.00010284,1.1737e-05,1.2505e-08,9.0034e-10,6.6914e-05,1.0428e-05,0.43164,0,0,"C"
